product_id,category,price,material,color,rating,stock_quantity,date_added,year,quarter,month,weekday,week_number,cost,profit_margin,potential_revenue,potential_profit,price_per_rating,stock_value
FUR0001,Desk,2620.74855389302,Wood,Gray,3.0,56.0,2023-11-15,2023,4,11,Wednesday,46,1310.37427694651,50.0,146761.91901800912,73380.95950900456,873.5828512976733,146761.91901800912
FUR0002,Sofa,774.9332812811157,Glass,Beige,4.9,31.0,2023-12-15,2023,4,12,Friday,50,426.2133047046137,44.99999999999999,24022.931719714587,10810.319273871562,158.14964924104402,24022.931719714587
FUR0003,Desk,1269.7439573879733,Wood,Black,3.9,89.0,2023-09-20,2023,3,9,Wednesday,38,634.8719786939866,50.0,113007.21220752962,56503.60610376481,325.5753736892239,113007.21220752962
FUR0004,Sofa,709.2728616383843,Plastic,White,1.2,51.5,2023-10-27,2023,4,10,Friday,43,390.1000739011114,44.99999999999999,36527.55237437679,16437.398568469554,591.0607180319869,36527.55237437679
FUR0005,Sofa,455.2040099723645,Wood,Black,2.7,95.0,2023-11-17,2023,4,11,Friday,46,250.36220548480048,44.99999999999999,43244.38094737462,19459.971426318578,168.5940777675424,43244.38094737462
FUR0006,Bed,816.9381413122989,Glass,Black,1.4,61.0,2023-08-14,2023,3,8,Monday,33,490.1628847873793,40.0,49833.22662005023,19933.29064802009,583.5272437944992,49833.22662005023
FUR0007,Bookshelf,1590.1514238008406,Wood,Blue,4.7,61.0,2023-01-12,2023,1,1,Thursday,2,715.5681407103783,54.99999999999999,96999.23685185128,53349.5802685182,338.3300901703916,96999.23685185128
FUR0008,Bed,144.41793941085675,Fabric,White,4.2,16.0,2023-12-14,2023,4,12,Thursday,50,86.65076364651405,40.0,2310.687030573708,924.2748122294831,34.3852236692516,2310.687030573708
FUR0009,Bookshelf,773.0884046044936,Metal,Gray,4.2,56.0,2023-03-24,2023,1,3,Friday,12,347.8897820720221,55.00000000000001,43292.95065785164,23811.122861818403,184.06866776297466,43292.95065785164
FUR0010,Table,1090.7946513296324,Wood,Brown,2.0,56.0,2023-03-12,2023,1,3,Sunday,10,599.9370582312979,44.99999999999999,61084.50047445942,27488.025213506735,545.3973256648162,61084.50047445942
FUR0011,Bed,1586.5536524986985,Plastic,Gray,3.6,33.0,2023-05-01,2023,2,5,Monday,18,951.932191499219,40.00000000000001,52356.27053245705,20942.508212982822,440.70934791630515,52356.27053245705
FUR0012,Desk,1561.2631102740418,Metal,Gray,4.7,27.0,2023-11-27,2023,4,11,Monday,48,780.6315551370209,50.0,42154.10397739913,21077.051988699564,332.18364048383864,42154.10397739913
FUR0013,Dining Set,2004.081878383964,Metal,Brown,2.9,31.0,2023-09-27,2023,3,9,Wednesday,39,1102.2450331111804,44.99999999999999,62126.538229902886,27956.942203456292,691.0627166841256,62126.538229902886
FUR0014,Bookshelf,1187.9822185081664,Fabric,Beige,3.2,75.0,2023-05-08,2023,2,5,Monday,19,534.5919983286749,55.00000000000001,89098.66638811248,49004.266513461866,371.24444328380196,89098.66638811248
FUR0015,Sofa,1402.706917451328,Glass,Blue,1.9,67.0,2023-12-08,2023,4,12,Friday,49,771.4888045982306,44.99999999999999,93981.36346923898,42291.61356115754,738.2667986585938,93981.36346923898
FUR0016,Table,410.17737163235074,Wood,Brown,3.3,76.0,2023-03-08,2023,1,3,Wednesday,10,225.59755439779292,44.99999999999999,31173.480244058657,14028.066109826395,124.29617322192448,31173.480244058657
FUR0017,Wardrobe,1496.7771951868654,Metal,Gray,3.0,17.0,2023-11-24,2023,4,11,Friday,47,823.227457352776,44.99999999999999,25445.21231817671,11450.34554317952,498.9257317289551,25445.21231817671
FUR0018,Wardrobe,217.15446026166975,Wood,Gray,3.4,53.0,2023-07-22,2023,3,7,Saturday,29,119.43495314391838,44.99999999999999,11509.186393868496,5179.133877240823,63.86895890049111,11509.186393868496
